nickname,time_ago,rating,content_txt
Rosie D,2h,2.5,"Total self-indulgence from the director. It’s the same old story wrapped in a 'fantasy' skin. Watching two mature souls role-play a conventional marriage in another dimension isn't 'new', it's exhausting. Can women in these movies ever just... exist without needing a man? Honestly, being stuck with the same person for eternity after already finishing a lifetime together isn't a romance, it’s a horror movie. Free us. 😅"
Mursal A,16h,5,Dare I say that it was better than the notebook and lala land
Joanna T,1d,5,"Loved this movie about what happens after you die. Interesting take: When you pass away & are sent to the afterlife, you physically become the age/appearance you were when you were happiest in life. In this world it is surprisingly corporate: there are diff eternities & they have salespeople who try to sell you the eternity. You can choose 1 eternity to live in but you cant reverse your decision: food world, museum world, beach world, mountain world, bromance world, workout world etc. Or you can stay in limbo if you can't decide if you get a job. Joan sees both of her past husbands in the afterlife: a young love who has waited 60 years in limbo for her & her most recent hubby of many years.She has to choose who to spend eternity with. At 1 point she goes w/ her girl friend, then chooses young love but realizes it's shallow & she can't forget memories of her entire life so she takes a risk, escapes & chooses latest hubby. They choose the eternity of the town they lived in: Oakdale world"
S W,1d,4,"I found this to be a decent romantic comedy. The acting was good, and I enjoyed the story about difficult choices."
Marissa P,1d,2.5,"An original concept with so much potential. Not bad, but sadly not nearly the love story or the depth I had hoped for."
Hailey H,2d,3,"Easy watch, fairly predictable and not especially noteworthy but still moderately enjoyable if you’re a fan of the genre"
Donn A,2d,2.5,great first few minutes but kinda lost steam.
thiago s,2d,0.5,"Filme fraco, o roteiro é fraco, as cenas são fracas, a história é fraca, o elenco é fraco, e ninguém ajuda a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom"
Rosey R,2d,1,No-no-no!  Why does the premise of this movie result in a womans happiness depending on a man in their afterlife? What a boring afterlife premise. Not for me.
Jennifer M,3d,4,I thought this movie was very cute I really enjoyed it.
Angela C,3d,2,"No matter how cute or clever some of the jokes are, this movie is one of the most misogynistic mainstream pieces of modern media I have seen. I left the movie wondering why the leading lady would choose either man — and why the central question of an entire woman’s life is ""who will she end up with?!?!"" Even the choice framed as ""choosing herself"" had her following someone else into their afterlife, and even that choice didn’t stick. The ending is the worst part though, as she somehow picks the man that wore her down for the majority of her life (from what one can gather of their on screen interactions). This film seems to be trying to tell American women: settle for not less, settle for the least."
Shervin Y,3d,5,One of the most incredible movies I’ve ever watched. Hits everything you can feel from your heart to your spirit to your mind. Gives you newfound appreciation of life and love.
J,3d,1,"The most self centered character plot for what I think was supposed to be considered a happy ending?? Totally frustrating movie, ick."
Robin W,4d,2,"Made me so mad! She was annoying, and felt like she knew who to pick, but wanted the part she “missed out on”"
Chauntel M,4d,5,Absolutely loved it and cried like a baby.
Marc G,4d,4.5,"I absolutely LOVED this movie! What an unexpected surprise. Incredibly creative, beautifully filmed and wonderfully acted by the Leads and the supporting cast. I went through all the emotions. Funny, sweet, heartwarming and romantic. Definitely one of the better romantic comedies out there!"
Taylor R,4d,1.5,"Eternity felt unfinished and sloppy; the choice was obvious from the get-go, and Joan's character was insufferable. Ryan was insufferable; just be gay, bro. Joan also sounds like she ran a marathon every fucking scene because of her breathing like a dying racehorse. Anna was cool."
Eric E,5d,1,"I signed up to RT just so I could express my displeasure over this awful film. The writing is just boring and insulting, and I could see the bits they tried to copy from Defending Your Life, a great film. AppleTV makes some excellent series but when it comes to features most times they hit the wall. This film hit the cliffs of Dover."
Hector B,5d,2,"Poor would describe the dialogue, story, acting, and directing. Out of 10 it was 6 notches below Defending Your Life. It took the place of Marty Supreme as the worst movie I’ve this year."
Henry D,5d,3,"Surprised we didn't like it more. The concept is good, but the humor often didn't work and the ending was weak and drawn out. The high production value and appealing actors weren't enough to lift this above a 3."
Anthony H,6d,4.5,"This one really got me in the feels. This had me laughing, crying, and smiling. I had all the emotions. This is exactly what you want out of a movie like this. This film helps you reflect on your life and see if you’ve lived it the way you’ll be happy with when it’s all said and done."
Eli F,6d,4.5,"The way this film made me feel and think about death in a new and almost refreshing way compared to other movies shows what good acting, great writing, and a passionate team can accomplish! I highly recommend!"
L J,6d,3,Fun and interesting.
David A,Feb 17,5,They have pulled off the impossible!  A romantic comedy that's actually good!
Drew M,Feb 17,0.5,"Lazy, inconsistent, and a little hard to follow, it establishes an ironclad rule structure, I guess, and then breaks it for an unearned emotional payoff.  When tragedy has no consequences, the jokes about hell fall a little flat.  Who needs enlightenment when indecision is there for the taking?"
Lori L,Feb 17,2,"Because I like the actors and the premise, I decided to give it a try.  It didn’t hit with me.   And, honestly, I didn’t love the acting either.  It was all bad."
Clay S,Feb 17,5,Creative idea on the afterlife. Chemistry between all the actors was on point
Matthew C,Feb 17,4,"The movie made me laugh out loud a couple times. Good romantic movie, was worried it wouldn’t get to where it was going once she made her decision but nice way to tie it back together. Solid B movie."
Beanz,Feb 16,4.5,"I thought this movie was outstanding. Between the entire concept, down to the acting. It was just chef's kiss. Highly recommend!!!"
Nathaniel C,Feb 16,3,Bad directing. Story telling could have been better. Side characters needed more help. Dragged a bit
Kyal B,Feb 16,4.5,"Fun, original premise. Teller and Olsen were fantastic. Surprised this one just came and went"
Michél R,Feb 16,3.5,"Fresh take on an old premise with great visuals and cast. The movie is a charming ode to young love and long-term relationships, alike. Overall, well-done, though it didn't quite stick the landing, emotionally.

Expect to be entertained, though perhaps not overly inspired."
Victoria A,Feb 16,3.5,"Liked it, premise was very interesting and there was definitely good chemistry. Interesting exploration of different types of romantic love."
Tea N,Feb 16,0.5,"It's an interesting concept, but poorly thought out. Drags on for waaay too long (30 minutes longer than it should've been.) The ending is undeniably the worst part of the movie, expecting the viewers to ignore that one of the two husbands is essentially condemned to eternal loneliness."
John F,Feb 16,3.5,"An okay movie, largely thanks to Ms Olsen. She's stellar, and she had all the good lines. Overall, there weren't enough good lines, and the plot, and ending, are obvious. Worth watching. Once."
Lauren N,Feb 16,5,Perfect mix of funny and also serious/sad. I thought the story played out beautifully. Loved
Madman K,Feb 16,5,Very enjoyable and unique movie.
Drew M,Feb 15,4.5,"Was not expecting this to affect me as much as it did. My wife’s first fiancé died in Afghanistan so the parallels of my life and this film were there to heighten my experience with the film. I was even nervous to watch this because of that, but ended up making me feel more comfortable with that reality that is my relationship with my wife and her past. Thankfully the movie is really funny too and the acting was top notch from every one involved."
KC .,Feb 15,3,"Elizabeth Olsen tried to give Joan a measure of complexity, but her character was never given the depth or dimension this film needed to be truly special. The male leads were charming, and an exploration of their budding friendship would have been enjoyable. Sadly, the sweetness of the film was dampened by the writer/director’s lack of interest in Joan as a human being, separate from the men she shared her time with on earth."
Tim R,Feb 15,0.5,"The premise is so ridiculous.
I gave up about a 1/4 of the way through this terrible movie."
